期,除却月,営業所コード,営業所名,依頼者,品目分類,金額
74期,202404,AJZ,静岡,長渡,修理,20000
74期,202404,AJZ,静岡,長渡,修理,20000
74期,202405,AJM,三島,吉井,レンタル,20000
74期,202405,AY2,横浜北,蛯原,レンタル,10000
74期,202406,AJZ,静岡営,山本,システム品,75000
74期,202406,AJZ,静岡営,山本,修理,20000
74期,202406,AYB,横浜西営,佐々木,修理,20000
74期,202406,AJZ,静岡,末吉,修理,20000
74期,202406,AJZ,静岡,末吉,レンタル,60000
74期,202407,AJM,三島営,杉本,システム品,25000
74期,202408,AY2,横浜北営,蛯原,代替機,60000
74期,202408,AYR,平塚営,中曽根,レンタル,30000
74期,202408,AYR,平塚営,福地,レンタル,60000
74期,202408,AYR,平塚営,中曽根,レンタル,60000
74期,202408,AJZ,静岡,山本,修理,20000
74期,202409,AY1,川崎,岡田,代替機,40000
74期,202409,AYR,平塚,江草,レンタル,220000
74期,202410,AJZ,静岡,長渡,修理,718500
74期,202410,AY2,横浜北,安川,レンタル,48000
74期,202410,AJZ,静岡,長渡,代替機,20000
74期,202410,AJZ,静岡,末吉,修理,20000
74期,202410,AY1,川崎,富田,修理,130000
74期,202410,AY1,川崎,富田,修理,20000
74期,202410,AY1,川崎,富田,修理,20000
74期,202410,AY1,川崎,横山,修理,70000
74期,202410,AY1,川崎,横山,修理,70000
74期,202410,AY2,横浜北,森山,修理,20000
74期,202501,AYB,横浜西,佐々木,システム品,75000
74期,202501,AJZ,静岡,末吉,レンタル,96000
74期,202501,AJZ,静岡,山本,修理,20000
74期,202502,BYV,厚木MMG,清水,修理,23500
74期,202502,AJZ,静岡,長渡,システム品,75000
74期,202502,AYR,平塚,北澤,レンタル,26000
74期,202502,BYA,横浜第一MMG,木本,設置費用など,30000
74期,202503,AY2,横浜北,三輪,修理,20000
74期,202503,AY2,横浜北,蛯原,修理,1215000
75期,202504,AYB,横浜西,田口,システム品,168750
75期,202504,AYB,横浜西,田口,レンタル,4800
75期,202504,AY2,横浜北,三輪,代替機,26000
75期,202504,AJZ,静岡,石川,修理,20000
75期,202504,AY1,川崎,富田,修理,50000
75期,202504,AJM,三島,佐々木,レンタル,7800
75期,202504,AJM,三島,石井,レンタル,48000
75期,202504,AJM,三島,佐々木,レンタル,40000
75期,202504,AYB,横浜西,田口,修理,96000
75期,202505,AJM,三島,杉本,修理,463790
75期,202505,AYY,横浜南,藤原,レンタル,665000
75期,202505,AJZ,静岡,石川,レンタル,680000
75期,202506,BYP,AED業部 神奈川,松村,レンタル,22200
75期,202507,BYV,厚木MMG,松永,修理,20000
75期,202507,AJZ,静岡,豊田,修理,20000
75期,202508,AYB,横浜西,江波,修理,20000
75期,202508,AYB,横浜西,江波,修理,20000
75期,202508,BYV,厚木MMG,松永,代替機,40000
75期,202509,AYR,平塚営,渋谷,システム品,123800
75期,202509,AYR,平塚営,保里,レンタル,120000
75期,202509,AYY,横浜南営,井手,レンタル,120000
75期,202510,AYR,平塚,江草,レンタル,40000
75期,202511,AY2,横浜北,根塚→三輪,レンタル,64000
